Strand	Read	Position	nMethylated	nUnmethylated
OT	1	1	10469	1044262
OT	2	1	4309	696486
OT	1	2	3630	516771
OT	2	2	6078	669711
OT	1	3	4482	813966
OT	2	3	5735	680692
OT	1	4	3906	801217
OT	2	4	5129	678704
OT	1	5	3194	675417
OT	2	5	5070	678963
OT	1	6	3286	738295
OT	2	6	4856	678268
OT	1	7	3211	715703
OT	2	7	4639	675017
OT	1	8	3309	729706
OT	2	8	4540	676954
OT	1	9	3171	705394
OT	2	9	4593	679042
OT	1	10	3106	701472
OT	2	10	4561	676272
OT	1	11	3032	691924
OT	2	11	4328	676251
OT	1	12	3229	701208
OT	2	12	4459	679428
OT	1	13	3327	698036
OT	2	13	4402	676428
OT	1	14	3087	688353
OT	2	14	4374	679278
OT	1	15	3141	692463
OT	2	15	4405	678847
OT	1	16	2639	698497
OT	2	16	4240	675179
OT	1	17	2539	691726
OT	2	17	4129	676932
OT	1	18	2696	695453
OT	2	18	4301	676251
OT	1	19	2532	696967
OT	2	19	4156	675073
OT	1	20	2678	685880
OT	2	20	4196	676255
OT	1	21	2633	691203
OT	2	21	4034	676894
OT	1	22	2649	691926
OT	2	22	4028	675743
OT	1	23	2588	684450
OT	2	23	4093	674904
OT	1	24	2675	692962
OT	2	24	3961	676685
OT	1	25	2599	694247
OT	2	25	3839	676012
OT	1	26	2817	685981
OT	2	26	3901	674980
OT	1	27	2727	691754
OT	2	27	3755	676840
OT	1	28	2647	690568
OT	2	28	3741	674580
OT	1	29	2927	687285
OT	2	29	3792	675629
OT	1	30	2821	691037
OT	2	30	3596	676329
OT	1	31	2770	693247
OT	2	31	3708	674745
OT	1	32	2734	684262
OT	2	32	3703	677448
OT	1	33	2744	688016
OT	2	33	3731	676728
OT	1	34	2817	691208
OT	2	34	3773	676164
OT	1	35	2753	683771
OT	2	35	3613	676534
OT	1	36	2708	689684
OT	2	36	3687	676662
OT	1	37	2757	690560
OT	2	37	3647	674233
OT	1	38	2724	685021
OT	2	38	3555	676629
OT	1	39	2647	688127
OT	2	39	3605	676069
OT	1	40	2783	691578
OT	2	40	3627	675164
OT	1	41	2764	684271
OT	2	41	3619	676379
OT	1	42	2674	687639
OT	2	42	3670	677311
OT	1	43	2735	688403
OT	2	43	3657	674355
OT	1	44	2759	682673
OT	2	44	3518	676776
OT	1	45	2817	686434
OT	2	45	3508	676448
OT	1	46	2739	687081
OT	2	46	3336	675474
OT	1	47	2790	682676
OT	2	47	3368	675899
OT	1	48	2762	688207
OT	2	48	3449	674626
OT	1	49	2801	688146
OT	2	49	3441	672996
OT	1	50	2680	683403
OT	2	50	3392	676075
OT	1	51	2691	685308
OT	2	51	3369	675113
OT	1	52	2796	685783
OT	2	52	3572	673212
OT	1	53	2778	681616
OT	2	53	3269	676922
OT	1	54	2854	687241
OT	2	54	3341	675035
OT	1	55	2723	685953
OT	2	55	3359	674308
OT	1	56	2736	680452
OT	2	56	3219	675147
OT	1	57	2899	684697
OT	2	57	3222	675166
OT	1	58	2863	685450
OT	2	58	3237	673315
OT	1	59	2842	679564
OT	2	59	3189	675114
OT	1	60	2782	684380
OT	2	60	3161	675048
OT	1	61	2796	686302
OT	2	61	3286	672563
OT	1	62	2774	679519
OT	2	62	3248	673809
OT	1	63	2760	684823
OT	2	63	3210	674725
OT	1	64	2789	684797
OT	2	64	3163	673688
OT	1	65	2827	679331
OT	2	65	3185	673929
OT	1	66	2833	682165
OT	2	66	3060	674152
OT	1	67	2875	683293
OT	2	67	3103	672294
OT	1	68	2827	679035
OT	2	68	3034	673579
OT	1	69	2814	681687
OT	2	69	3126	674145
OT	1	70	2900	683132
OT	2	70	3210	674481
OT	1	71	2838	680748
OT	2	71	3121	674041
OT	1	72	2944	681767
OT	2	72	3143	674679
OT	1	73	2948	681658
OT	2	73	3100	670848
OT	1	74	2823	679015
OT	2	74	3131	673571
OT	1	75	2982	680135
OT	2	75	3141	675029
OT	1	76	2913	682655
OT	2	76	3186	671530
OT	1	77	2877	676259
OT	2	77	3102	673229
OT	1	78	2865	679624
OT	2	78	3115	672710
OT	1	79	3003	681893
OT	2	79	3132	671513
OT	1	80	2908	678724
OT	2	80	3103	674213
OT	1	81	2923	681416
OT	2	81	3098	675142
OT	1	82	2927	682437
OT	2	82	2928	673513
OT	1	83	2977	676858
OT	2	83	3053	675509
OT	1	84	3034	678649
OT	2	84	2957	673823
OT	1	85	2987	679410
OT	2	85	2993	672193
OT	1	86	2906	676798
OT	2	86	2965	675279
OT	1	87	3000	679093
OT	2	87	2993	674644
OT	1	88	3027	677865
OT	2	88	2928	670829
OT	1	89	3003	674817
OT	2	89	2970	672857
OT	1	90	2999	678841
OT	2	90	2941	673823
OT	1	91	3037	677273
OT	2	91	2869	670125
OT	1	92	2967	675408
OT	2	92	2923	673797
OT	1	93	2991	679102
OT	2	93	2937	673400
OT	1	94	2899	677436
OT	2	94	2982	670847
OT	1	95	2921	673731
OT	2	95	2851	673064
OT	1	96	2937	676606
OT	2	96	2919	674713
OT	1	97	3001	676741
OT	2	97	2955	671753
OT	1	98	3011	672299
OT	2	98	2887	672273
OT	1	99	2928	675621
OT	2	99	2998	671096
OT	1	100	2900	675382
OT	2	100	2898	670417
OT	1	101	2863	671910
OT	2	101	2882	670321
OT	1	102	3040	674844
OT	2	102	2889	671669
OT	1	103	3021	675031
OT	2	103	2799	669346
OT	1	104	2994	671786
OT	2	104	2953	672840
OT	1	105	3011	674109
OT	2	105	2947	674724
OT	1	106	2882	674990
OT	2	106	2793	670092
OT	1	107	2987	668366
OT	2	107	2814	671233
OT	1	108	2911	673926
OT	2	108	2841	670812
OT	1	109	2903	674288
OT	2	109	2757	669400
OT	1	110	3022	670292
OT	2	110	2802	670783
OT	1	111	2923	673719
OT	2	111	2739	669763
OT	1	112	3024	673529
OT	2	112	2795	667646
OT	1	113	2926	668773
OT	2	113	2970	671100
OT	1	114	2875	671485
OT	2	114	2943	670904
OT	1	115	3115	671983
OT	2	115	2870	668694
OT	1	116	3053	667660
OT	2	116	2897	670506
OT	1	117	2967	668561
OT	2	117	2828	671468
OT	1	118	3165	671220
OT	2	118	2852	670259
OT	1	119	2974	668072
OT	2	119	2713	669124
OT	1	120	3048	669110
OT	2	120	2775	668724
OT	1	121	2955	671739
OT	2	121	2772	668207
OT	1	122	2985	665538
OT	2	122	2806	667546
OT	1	123	3095	669858
OT	2	123	2913	667657
OT	1	124	3000	670156
OT	2	124	2755	665068
OT	1	125	2930	668149
OT	2	125	2767	669083
OT	1	126	2990	668407
OT	2	126	2706	669219
OT	1	127	2994	669828
OT	2	127	2764	667878
OT	1	128	3022	665313
OT	2	128	2838	671024
OT	1	129	3000	665622
OT	2	129	2808	669394
OT	1	130	3030	668227
OT	2	130	2589	666617
OT	1	131	3115	663054
OT	2	131	2680	665580
OT	1	132	3001	666015
OT	2	132	2737	663946
OT	1	133	3129	665769
OT	2	133	2803	658166
OT	1	134	3025	662186
OT	2	134	2585	661781
OT	1	135	3060	662897
OT	2	135	2781	663564
OT	1	136	3066	665568
OT	2	136	2665	660390
OT	1	137	3041	659241
OT	2	137	2756	662747
OT	1	138	3219	663368
OT	2	138	2761	661870
OT	1	139	3176	663663
OT	2	139	2657	664015
OT	1	140	3129	659112
OT	2	140	2706	659639
OT	1	141	3142	660419
OT	2	141	2738	651190
OT	1	142	3104	661261
OT	2	142	2617	634339
OT	1	143	3155	656196
OT	2	143	2376	590883
OT	1	144	3169	658681
OT	2	144	3031	696666
OT	1	145	3099	660869
OT	2	145	2707	630464
OT	1	146	3240	657048
OT	2	146	2671	637445
OT	1	147	3234	659846
OT	2	147	3093	730019
OT	1	148	3276	660533
OT	2	148	3312	697183
OT	1	149	3173	655754
OT	2	149	4578	710081
OT	1	150	2654	650098
OT	2	150	2799	258476
OB	1	1	3082	683313
OB	2	1	3283	293286
OB	1	2	3731	674979
OB	2	2	5088	780713
OB	1	3	3470	679249
OB	2	3	3387	733765
OB	1	4	3444	678295
OB	2	4	3332	768504
OB	1	5	3422	673368
OB	2	5	2708	662181
OB	1	6	3424	678606
OB	2	6	2833	660336
OB	1	7	3391	679905
OB	2	7	3083	733621
OB	1	8	3247	673140
OB	2	8	2498	611104
OB	1	9	3229	677072
OB	2	9	2736	667131
OB	1	10	3383	678000
OB	2	10	2854	681248
OB	1	11	3231	676222
OB	2	11	2854	688299
OB	1	12	3166	678374
OB	2	12	2868	691208
OB	1	13	3278	678888
OB	2	13	2763	688645
OB	1	14	3272	676026
OB	2	14	2875	687351
OB	1	15	3162	678767
OB	2	15	2856	686010
OB	1	16	3233	679641
OB	2	16	2889	687933
OB	1	17	3151	674514
OB	2	17	2802	683939
OB	1	18	3230	679109
OB	2	18	2892	681146
