chrom	ctype	mC	mC_rate
Chr01A	CG	789200	0.5257645970959034
Chr02A	CG	666161	0.7010627057426942
Chr03A	CG	320035	0.6195504878426514
Chr04A	CG	1073778	0.8173250893801126
Chr05A	CG	512622	0.7112420255791948
Chr06A	CG	345023	0.7160842557059809
Chr07A	CG	479483	0.6786285979559746
Chr08A	CG	156705	0.645942481213855
Chr09A	CG	1766814	0.9240122566106257
Chr10A	CG	492924	0.9107359622494398
Chr11A	CG	487023	0.9147139916458815
lambda	CG	41061	0.2384716349951215
Chr01A	CHG	190503	0.1269129916884958
Chr02A	CHG	75737	0.0797050354866683
Chr03A	CHG	52808	0.10223013783490785
Chr04A	CHG	63495	0.04833034067581032
Chr05A	CHG	54265	0.0752904645490342
Chr06A	CHG	36837	0.0764540211158132
Chr07A	CHG	60619	0.0857961324582795
Chr08A	CHG	23162	0.09547442487396898
Chr09A	CHG	36411	0.019042304552403078
Chr10A	CHG	12328	0.022777452391466214
Chr11A	CHG	10831	0.020342503831475192
lambda	CHG	39534	0.22960321516517215
Chr01A	CHH	521349	0.3473224112156008
Chr02A	CHH	208318	0.2192322587706374
Chr03A	CHH	143717	0.27821937432244076
Chr04A	CHH	176498	0.134344569944077
Chr05A	CHH	153855	0.21346750987177104
Chr06A	CHH	99959	0.20746172317820594
Chr07A	CHH	166445	0.2355752695857459
Chr08A	CHH	62732	0.25858309391217604
Chr09A	CHH	108886	0.056945438836971285
Chr10A	CHH	35985	0.06648658535909407
Chr11A	CHH	34578	0.06494350452264326
lambda	CHH	91589	0.5319251498397064
